# Mapping generated from sheet data-prestations, input data.csv output 4_prestations_1.csv
"category";"service";"label";"search_filter";"price";"billing";"filter_presentation";"calculating";"job"
"Beauté & bien être";"Coiffure afro";"Finger twist";"";0;"par prestation";"";"Nombre";"Coiffeur"
"Beauté & bien être";"Coiffure afro";"locks Twist";"";0;"par prestation";"";"Nombre";"Coiffeur"
"Beauté & bien être";"Coiffure afro";"Départ locks";"";0;"par prestation";"";"Nombre";"Coiffeur"
"Beauté & bien être";"Coiffure afro";"Entretienlocks";"";0;"par prestation";"";"Nombre";"Coiffeur"
"Beauté & bien être";"Coiffure afro";"Tissage";"";0;"par prestation";"";"Nombre";"Coiffeur"
"Beauté & bien être";"Coiffure afro";"Dépose tissage";"";0;"par prestation";"";"Nombre";"Coiffeur"
"Beauté & bien être";"Coiffure afro";"Pose Extensions";"";0;"par prestation";"";"Nombre";"Coiffeur"
"Beauté & bien être";"Coiffure afro";"Dépose d'extensions";"";0;"par prestation";"";"Nombre";"Coiffeur"
"Beauté & bien être";"Coiffure afro";"Coloration sur tissage";"";0;"par prestation";"";"Nombre";"Coiffeur"
"Beauté & bien être";"Coiffure afro";"Mèches sur tissage";"";0;"par prestation";"";"Nombre";"Coiffeur"
"Conciergerie ";"Conciergerie administrative";"Création / renouvellement de carte grise";"";0;"par prestation";"";"Nombre";""
"Conciergerie ";"Conciergerie administrative";"Création / renouvellement de passeport & carte d'identité";"";0;"par prestation";"";"Nombre";""
"Conciergerie ";"Conciergerie administrative";"Création / renouvellement de visa";"";0;"par prestation";"";"Nombre";""
"Conciergerie ";"Conciergerie Airbnb";"Arrivée - Accueil / remise des clés, conseils";"";0;"par prestation";"";"Nombre";""
"Conciergerie ";"Conciergerie Airbnb";"Départ - Reprise clés, checkout";"";0;"par prestation";"";"Nombre";""
"Conciergerie ";"Conciergerie Airbnb";"Ménage après location ";"";0;"de l'heure";"";"Nombre";""
"Conciergerie ";"Conciergerie Airbnb";"Blanchisserie - lavage et remplacement des draps";"";0;"unitaire";"";"Nombre";""
"Maison & travaux";"Conducteur d'engin de chantier";"Conducteur de mini pelle";"";0;"de l'heure";"Construction";"Nombre";"Conducteur"
"Maison & travaux";"Conducteur d'engin de chantier";"Conducteur de bouteur";"";0;"de l'heure";"Construction";"Nombre";"Conducteur"
"Maison & travaux";"Conducteur d'engin de chantier";"Conducteur de chargeuse pelleteuse";"";0;"de l'heure";"Construction";"Nombre";"Conducteur"
"Maison & travaux";"Conducteur d'engin de chantier";"Conducteur de chargeuse à pneus";"";0;"de l'heure";"Construction";"Nombre";"Conducteur"
"Maison & travaux";"Conducteur d'engin de chantier";"Conducteur de mini compacteur";"";0;"de l'heure";"Construction";"Nombre";"Conducteur"
"Maison & travaux";"Conducteur d'engin de chantier";"Conducteur de pelle à pneus";"";0;"de l'heure";"Construction";"Nombre";"Conducteur"
