_id;Service;Prestations;Methode;Option;Supplément 1;Supplément 2
5d66a11808b3d612bd0865ef;Beauté des mains et pieds;Supplément capsules;par prestation;"alfred;client";Forfait frais de déplacement;
5d66a11808b3d612bd0865f0;Beauté des mains et pieds;Pose complète d'ongles + French manucure;par prestation;"alfred;client";Forfait frais de déplacement;
5d66a11808b3d612bd0865f1;Beauté des mains et pieds;Supplément chablon;par prestation;"alfred;client";Forfait frais de déplacement;
5d66a11808b3d612bd0865f2;Beauté des mains et pieds;Supplément nail art;par prestation;"alfred;client";Forfait frais de déplacement;
5d66a11808b3d612bd0865f3;Beauté des mains et pieds;Beauté des pieds;par prestation;"alfred;client";Forfait frais de déplacement;
5d66a11808b3d612bd0865f4;Beauté des mains et pieds;Remplissage de gel + pose d‚Äôun vernis;par prestation;"alfred;client";Forfait frais de déplacement;
5d66a11808b3d612bd0865f5;Beauté des mains et pieds;Beauté des pieds + vernis;par prestation;"alfred;client";Forfait frais de déplacement;
5d66a11808b3d612bd0865f6;Beauté des mains et pieds;Beauté des pieds + gel;par prestation;"alfred;client";Forfait frais de déplacement;
5d66a11808b3d612bd0865f7;Beauté des mains et pieds;Beauté des pieds + vernis semi-permanent;par prestation;"alfred;client";Forfait frais de déplacement;
5d66a11808b3d612bd0865f8;Beauté des mains et pieds;Remplissage de gel + French manucure;par prestation;"alfred;client";Forfait frais de déplacement;
5d66a11808b3d612bd0865fa;Beauté des mains et pieds;Dépose gel;par prestation;"alfred;client";Forfait frais de déplacement;
5d66a11808b3d612bd0865ff;Beauté des mains et pieds;Pose complète d'ongles en gel + pose d'un vernis;par prestation;"alfred;client";Forfait frais de déplacement;
5d66a11808b3d612bd086601;Beauté des mains et pieds;Dépose Gel / résine;par prestation;"alfred;client";Forfait frais de déplacement;
5d66a11808b3d612bd0865f9;Chauffage;Installation chauffe-eau;unitaire;client;Forfait frais de déplacement;
5d66a11808b3d612bd0865fb;Chauffage;Installation chaudiere à condensation;unitaire;client;Forfait frais de déplacement;
5d66a11808b3d612bd0865fc;Chauffage;Installation chaudiere à basse température;unitaire;client;Forfait frais de déplacement;
5d66a11808b3d612bd0865fd;Chauffage;Installation poële à granulé;unitaire;client;Forfait frais de déplacement;
5d66a11808b3d612bd0865fe;Chauffage;Installation chaudiere à ventouse;unitaire;client;Forfait frais de déplacement;
5d66a11808b3d612bd086600;Chauffage;Installation poële à bois;unitaire;client;Forfait frais de déplacement;
5d66a11808b3d612bd086602;Chauffage;Installation radiateur;unitaire;client;Forfait frais de déplacement;
5d66a11808b3d612bd086603;Chauffage;Installation sèche serviette;unitaire;client;Forfait frais de déplacement;
5d66a11808b3d612bd086604;Chauffage;Installation cheminée;unitaire;client;Forfait frais de déplacement;
5d66a11808b3d612bd086605;Chauffage;Réparation chauffe-eau;unitaire;client;Forfait frais de déplacement;
5d66a11808b3d612bd086606;Chauffage;Réparation chaudiere;unitaire;client;Forfait frais de déplacement;
5d66a11808b3d612bd086607;Chauffage;Réparation Poële;unitaire;client;Forfait frais de déplacement;
5d66a11808b3d612bd086608;Chauffage;Remplacement vitre cheminée;unitaire;client;Forfait frais de déplacement;
5d66a11808b3d612bd086609;Chauffage;Réparation radiateur;unitaire;client;Forfait frais de déplacement;
5d66a11808b3d612bd08660a;Chauffage;Réparation cheminée;unitaire;client;Forfait frais de déplacement;
5d66a11808b3d612bd08660b;Chauffage;Réparation climatisation;unitaire;client;Forfait frais de déplacement;
5d66a11808b3d612bd08660e;Chauffage;Réparation sèche serviette;unitaire;client;Forfait frais de déplacement;
5d66a11808b3d612bd08660c;Clôture & portail;Installation clôture;"par m2;de l'heure";client;Forfait frais de déplacement;
5d66a11808b3d612bd08660d;Clôture & portail;Installation portail;par prestation;client;Forfait frais de déplacement;
5d66a11808b3d612bd08660f;Clôture & portail;Réparation clôture;"par m2;de l'heure";client;Forfait frais de déplacement;
5d66a11808b3d612bd086613;Clôture & portail;Réparation portail;par prestation;client;Forfait frais de déplacement;
5d66a11808b3d612bd086610;Coaching bien-être;Coaching bien être;de l'heure;"alfred;client";Forfait frais de déplacement;
5d66a11808b3d612bd086611;Coaching bien-être;Cure énergétique;de l'heure;"alfred;client";Forfait frais de déplacement;
5d66a11808b3d612bd086612;Coaching bien-être;Dietétique;de l'heure;"alfred;client";Forfait frais de déplacement;
5d66a11808b3d612bd086614;Coaching bien-être;Pendériologie;de l'heure;"alfred;client";Forfait frais de déplacement;
5d66a11808b3d612bd086616;Coaching bien-être;Nutrithérapie;de l'heure;"alfred;client";Forfait frais de déplacement;
5d66a11808b3d612bd086615;Coiffure;Shampoing;par prestation;"alfred;client";Forfait frais de déplacement;
5d66a11808b3d612bd086617;Coiffure;Coupe classique;par prestation;"alfred;client";Forfait frais de déplacement;
5d66a11808b3d612bd086618;Coiffure;Permanente;par prestation;"alfred;client";Forfait frais de déplacement;
5d66a11808b3d612bd086619;Coiffure;Brushing;par prestation;"alfred;client";Forfait frais de déplacement;
5d66a11808b3d612bd08661a;Coiffure;Coupe création;par prestation;"alfred;client";Forfait frais de déplacement;
5d66a11808b3d612bd08661b;Coiffure;Couleur racine;par prestation;"alfred;client";Forfait frais de déplacement;
5d66a11808b3d612bd08661c;Coiffure;Brushing court et mi long;par prestation;"alfred;client";Forfait frais de déplacement;
5d66a11808b3d612bd08661d;Coiffure;Shampoing;par prestation;"alfred;client";Forfait frais de déplacement;
5d66a11808b3d612bd08661e;Coiffure;Coupe classique;par prestation;"alfred;client";Forfait frais de déplacement;
5d66a11808b3d612bd08661f;Coiffure;Couleur complète;par prestation;"alfred;client";Forfait frais de déplacement;
5d66a11808b3d612bd086620;Coiffure;Brushing long;par prestation;"alfred;client";Forfait frais de déplacement;
5d66a11808b3d612bd086621;Coiffure;Coupe création;par prestation;"alfred;client";Forfait frais de déplacement;
