categorie;service;prestation;eligible_cesu;privée
Auto-Moto-Vélo-Nautique;Entretien voiture;Remplacement bougie essence;0;0
Auto-Moto-Vélo-Nautique;Entretien voiture;Remplacement bougie préchauffage;0;0
Auto-Moto-Vélo-Nautique;Entretien voiture;Remplacement cardan;0;0
Auto-Moto-Vélo-Nautique;Entretien voiture;Remplacement clignotant;0;0
Auto-Moto-Vélo-Nautique;Entretien voiture;Remplacement câble de frein à main;0;0
Auto-Moto-Vélo-Nautique;Entretien voiture;Remplacement disque et plaquette;0;0
Auto-Moto-Vélo-Nautique;Entretien voiture;Remplacement filtre à air;0;0
Auto-Moto-Vélo-Nautique;Entretien voiture;Remplacement filtre à essence;0;0
Auto-Moto-Vélo-Nautique;Entretien voiture;Remplacement filtre à gasoil;0;0
Auto-Moto-Vélo-Nautique;Entretien voiture;Remplacement filtre à habitacle;0;0
Auto-Moto-Vélo-Nautique;Entretien voiture;Remplacement filtre à huile;0;0
Auto-Moto-Vélo-Nautique;Entretien voiture;Remplacement filtre à injection;0;0
Auto-Moto-Vélo-Nautique;Entretien voiture;Remplacement kit d'embrayage;0;0
Auto-Moto-Vélo-Nautique;Entretien voiture;Remplacement kit de distribution diesel;0;0
Auto-Moto-Vélo-Nautique;Entretien voiture;Remplacement kit de distribution essence;0;0
Auto-Moto-Vélo-Nautique;Entretien voiture;Remplacement kit de frein arrière;0;0
Auto-Moto-Vélo-Nautique;Entretien voiture;Remplacement ligne complète catalyseur;0;0
Auto-Moto-Vélo-Nautique;Entretien voiture;Remplacement phare;0;0
Auto-Moto-Vélo-Nautique;Entretien voiture;Remplacement plaque d'immatriculation;0;0
Auto-Moto-Vélo-Nautique;Entretien voiture;Remplacement plaquette;0;0
Auto-Moto-Vélo-Nautique;Entretien voiture;Remplacement pot de détente;0;0
Auto-Moto-Vélo-Nautique;Entretien voiture;Remplacement radiateur de chauffage;0;0
Auto-Moto-Vélo-Nautique;Entretien voiture;Remplacement radiateur de refroidissement;0;0
Auto-Moto-Vélo-Nautique;Entretien voiture;Remplacement rotule de direction;0;0
Auto-Moto-Vélo-Nautique;Entretien voiture;Remplacement rotule de suspension;0;0
Auto-Moto-Vélo-Nautique;Entretien voiture;Remplacement roue;0;0
